16139,4747800,2625300,247500,1875000
16140,4758600,2596500,218700,1943400
16141,4758600,2551500,184500,,,2022600
16142,4758600,2537100,170100,,,2051400
16143,4808100,2569200,100500,,,2138400
16146,5006100,2736000,107100,,,2163000
16147,5116080,2780280,152100,,,2183700
16148,5116080,2755080,171000,,,2190000
16149,5116080,2749680,169200,,,2197200
16150,5116080,2720880,162000,,,2233200
16153,5116080,2706480,162000,,,2247600
16154,5429280,2906280,169200,,,2353800
16155,5634480,3067080,104400,,,2463000
16156,5648880,3059880,82800,,,2506200
16157,5648880,3058080,82800,,,2508000
16161,5641680,2968080,108000,,,2565600
16163,5609280,2755680,270000,,,2583600
16164,5609280,2698080,280800,,,2630400
